num_vertices	np_len	np_perc	np_nanos	np_heap_len	np_heap_perc	np_heap_nanos	heap_len	heap_perc	heap_nanos	heap_mc_len	heap_mc_perc	heap_mc_nanos	greedy_len	greedy_perc	greedy_nanos	
8	41358.184396	1.000000	6000300	41358.184396	1.000000	4000200	41358.184396	1.000000	0	41358.184396	1.000000	0	41358.184396	1.000000	0	
8	38461.210094	1.000000	7001300	38461.210094	1.000000	3000800	38461.210094	1.000000	0	38461.210094	1.000000	0	38461.210094	1.000000	0	
8	37364.410261	1.000000	6001600	37364.410261	1.000000	4001800	37364.410261	1.000000	0	37364.410261	1.000000	0	37364.410261	1.000000	0	
8	37379.668275	1.000000	6000800	37379.668275	1.000000	2000600	37745.421051	0.990310	0	37745.421051	0.990310	0	37745.421051	0.990310	0	
8	39304.083587	1.000000	6001300	39304.083587	1.000000	4000300	40258.763809	0.976286	0	40258.763809	0.976286	0	40386.669095	0.973194	0	
8	28985.921548	1.000000	6002100	28985.921548	1.000000	2999900	28985.921548	1.000000	0	28985.921548	1.000000	0	28985.921548	1.000000	0	
8	34348.273643	1.000000	6002000	34348.273643	1.000000	3000800	35360.125508	0.971384	999600	35360.125508	0.971384	0	35360.125508	0.971384	0	
8	35085.750619	1.000000	6000900	35085.750619	1.000000	3001300	35085.750619	1.000000	1000600	35085.750619	1.000000	0	35085.750619	1.000000	0	
8	26849.906017	1.000000	6001200	26849.906017	1.000000	4001000	26849.906017	1.000000	1000300	26849.906017	1.000000	0	27151.177159	0.988904	0	
8	45208.301742	1.000000	5000400	45208.301742	1.000000	6002200	47535.208588	0.951049	0	47535.208588	0.951049	0	48023.488762	0.941379	0	
8	40279.884036	1.000000	6001000	40279.884036	1.000000	5002100	41012.842181	0.982129	0	41012.842181	0.982129	0	41012.842181	0.982129	0	
8	35691.803665	1.000000	5656000	35691.803665	1.000000	4000100	35691.803665	1.000000	0	35691.803665	1.000000	0	35691.803665	1.000000	0	
8	40935.367923	1.000000	6001500	40935.367923	1.000000	3000400	41077.248592	0.996546	0	41077.248592	0.996546	0	41077.248592	0.996546	0	
8	39974.055041	1.000000	6001400	39974.055041	1.000000	5001300	40962.472674	0.975870	0	40962.472674	0.975870	0	40962.472674	0.975870	0	
8	38526.079507	1.000000	6001900	38526.079507	1.000000	3000000	38526.079507	1.000000	0	38526.079507	1.000000	1000100	38526.079507	1.000000	0	
8	28690.526579	1.000000	6001500	28690.526579	1.000000	3000500	28690.526579	1.000000	0	28690.526579	1.000000	0	28690.526579	1.000000	0	
8	37839.981021	1.000000	6001400	37839.981021	1.000000	6001400	38479.636031	0.983377	0	38479.636031	0.983377	0	38479.636031	0.983377	0	
8	37107.750530	1.000000	6001500	37107.750530	1.000000	4001800	37107.750530	1.000000	0	37107.750530	1.000000	0	37107.750530	1.000000	0	
8	38200.237406	1.000000	5000500	38200.237406	1.000000	5001500	39725.981395	0.961593	0	39725.981395	0.961593	0	39725.981395	0.961593	0	
8	32632.301155	1.000000	5001100	32632.301155	1.000000	1999800	32632.301155	1.000000	0	32632.301155	1.000000	0	32632.301155	1.000000	0	
8	37744.027028	1.000000	6001300	37744.027028	1.000000	4001700	37744.027028	1.000000	0	37744.027028	1.000000	0	37744.027028	1.000000	0	
8	31882.832831	1.000000	6000700	31882.832831	1.000000	5000700	32135.152513	0.992148	1000200	32135.152513	0.992148	0	33151.757626	0.961724	0	
8	32617.550072	1.000000	5001100	32617.550072	1.000000	3001300	32617.550072	1.000000	0	32617.550072	1.000000	0	32617.550072	1.000000	0	
8	42480.231181	1.000000	6000700	42480.231181	1.000000	5001200	43353.120012	0.979866	1000200	43767.561898	0.970587	0	43353.120012	0.979866	0	
