num_vertices	greedy_byedge_withupdates_len	greedy_byedge_withupdates_perc	greedy_byedge_withupdates_nanos	greedy_len	greedy_perc	greedy_nanos	greedy_byedge_len	greedy_byedge_perc	greedy_byedge_nanos	greedy_withupdates_len	greedy_withupdates_perc	greedy_withupdates_nanos	
100	84689.341059	1.000000	24005300	84689.341059	1.000000	0	84689.341059	1.000000	3000500	86982.944205	0.973632	4001800	
100	84116.596551	1.000000	24543100	84132.954422	0.999806	0	84116.596551	1.000000	3000700	86199.843017	0.975832	4002000	
100	84516.600580	1.000000	26004800	85404.664478	0.989602	1000600	84516.600580	1.000000	2000300	84546.979985	0.999641	4001000	
100	83527.391983	1.000000	28006300	83527.391983	1.000000	0	83527.391983	1.000000	3031000	86280.247053	0.968094	3971100	
100	81845.165164	1.000000	25005400	81845.165164	1.000000	0	81845.165164	1.000000	3000000	82711.939963	0.989521	3001600	
100	86824.382774	1.000000	28005800	87738.735141	0.989579	0	86824.382774	1.000000	4001300	89470.830406	0.970421	4000500	
100	85208.810140	1.000000	22005100	85208.810140	1.000000	0	85208.810140	1.000000	3000300	85638.694771	0.994980	4001200	
100	87640.256732	1.000000	22005200	87640.256732	1.000000	0	87640.256732	1.000000	2999900	86332.913339	1.015143	4001300	
100	79223.430189	1.000000	26006000	79602.719792	0.995235	0	79223.430189	1.000000	3000300	81767.179094	0.968890	4001100	
100	79571.130460	1.000000	22005100	79571.130460	1.000000	0	79571.130460	1.000000	3000300	81300.239604	0.978732	4001000	
100	88103.523513	1.000000	27006000	88103.523513	1.000000	1000100	88103.523513	1.000000	3000700	91077.007960	0.967352	3001500	
100	82459.495535	1.000000	23003800	82513.546012	0.999345	0	82459.495535	1.000000	2000500	83740.003514	0.984709	4000800	
100	84301.504868	1.000000	22005000	84301.504868	1.000000	0	84301.504868	1.000000	2000300	85943.990567	0.980889	4000900	
100	85251.991528	1.000000	31007500	85512.273339	0.996956	0	85251.991528	1.000000	4001000	89818.728415	0.949156	5001100	
100	89080.552441	1.000000	34008500	90200.243969	0.987587	1000400	89080.552441	1.000000	3000000	92974.124666	0.958122	3000700	
100	88434.620799	1.000000	20004400	88434.620799	1.000000	0	88434.620799	1.000000	3001600	91549.109011	0.965980	4000100	
100	83734.031147	1.000000	29007700	83897.315230	0.998054	0	83734.031147	1.000000	2999200	84936.530974	0.985842	4000900	
100	88262.047409	1.000000	23006200	88656.879754	0.995547	0	88262.047409	1.000000	3001000	89487.012993	0.986311	3999600	
100	82487.415700	1.000000	22004900	83851.620638	0.983731	1000800	82487.415700	1.000000	1999900	84941.986359	0.971103	4001700	
100	80123.529191	1.000000	24004600	82183.075399	0.974940	0	80123.529191	1.000000	3000600	83286.026789	0.962028	4000900	
100	86924.110460	1.000000	19004200	86924.110460	1.000000	1001000	86924.110460	1.000000	1999700	87612.913679	0.992138	4000800	
100	82622.281041	1.000000	17004500	82622.281041	1.000000	999700	82622.281041	1.000000	2000400	87030.040743	0.949354	5001100	
100	80728.035620	1.000000	34007500	80728.035620	1.000000	0	80728.035620	1.000000	4025900	81510.963460	0.990395	3976000	
100	85764.954820	1.000000	27006400	85764.954820	1.000000	0	85764.954820	1.000000	3001200	87812.466815	0.976683	4000000	
100	80298.065301	1.000000	30009800	81895.306708	0.980497	0	80298.065301	1.000000	4000700	81905.236477	0.980378	4000300	
100	79746.556348	1.000000	22005700	79746.556348	1.000000	1000000	79746.556348	1.000000	1999900	80106.566807	0.995506	4001000	
100	78494.343707	1.000000	27006800	78494.343707	1.000000	1000600	78494.343707	1.000000	2999400	81396.071814	0.964351	4000900	
100	79092.703872	1.000000	27006200	79092.703872	1.000000	1010000	79092.703872	1.000000	2000400	83532.224139	0.946853	4001200	
100	84125.288208	1.000000	23996600	84125.288208	1.000000	0	84125.288208	1.000000	3008900	84891.849008	0.990970	4001200	
100	81221.195080	1.000000	22004800	81315.324868	0.998842	0	81221.195080	1.000000	2000500	84473.320095	0.961501	4001000	
100	90218.064444	1.000000	29006300	90362.239173	0.998404	1000300	90218.064444	1.000000	3000900	91500.667273	0.985983	3000300	
100	81504.652709	1.000000	22996400	81504.652709	1.000000	1009300	81504.652709	1.000000	2000200	82843.351444	0.983841	4001200	
100	81737.690187	1.000000	22562500	81737.690187	1.000000	0	81737.690187	1.000000	3000500	85234.442071	0.958975	3991900	
100	78388.822367	1.000000	21013800	78388.822367	1.000000	0	78388.822367	1.000000	2003900	78952.221053	0.992864	3997300	
100	84173.823001	1.000000	25998500	84173.823001	1.000000	999800	84173.823001	1.000000	2000400	85095.011753	0.989175	3999200	
100	83417.169252	1.000000	25006200	83417.169252	1.000000	0	83417.169252	1.000000	3000000	84017.329975	0.992857	3000800	
100	80875.853283	1.000000	21004600	80875.853283	1.000000	1000200	80875.853283	1.000000	2000600	81135.172738	0.996804	4002000	
100	87069.210858	1.000000	30005400	87490.713064	0.995182	1000400	87069.210858	1.000000	3001400	88561.585607	0.983149	4000800	
100	84301.589552	1.000000	21004000	84301.589552	1.000000	0	84301.589552	1.000000	2010300	84603.510257	0.996431	4001000	
100	87320.775821	1.000000	29006400	88075.468892	0.991431	1000100	87320.775821	1.000000	3000600	92797.316880	0.940984	4001700	
100	84484.007358	1.000000	22004800	84484.007358	1.000000	0	84484.007358	1.000000	3000100	85437.499460	0.988840	4001000	
100	83289.925924	1.000000	21004600	84214.001160	0.989027	0	83289.925924	1.000000	2000500	84338.699659	0.987565	5047100	
