num_vertices	greedy_byedge_len	greedy_byedge_perc	greedy_byedge_nanos	greedy_len	greedy_perc	greedy_nanos	greedy_weighted_edge_len	greedy_weighted_edge_perc	greedy_weighted_edge_nanos	
200	112960.053076	1.000000	9001600	112960.053076	1.000000	999900	234103.747602	0.482521	13002900	
200	119571.780125	1.000000	10002600	119626.747213	0.999541	999800	248558.928379	0.481060	15003400	
200	122133.716881	1.000000	7001100	122241.301874	0.999120	0	197243.441226	0.619203	13002800	
200	114588.320687	1.000000	10002000	114588.320687	1.000000	1000800	224162.731492	0.511184	13002900	
200	113204.950812	1.000000	10001800	113204.950812	1.000000	1000300	199194.853138	0.568313	11002500	
200	116549.777183	1.000000	12002800	116720.248640	0.998539	1000100	268683.426442	0.433781	13003200	
200	116655.959271	1.000000	14003300	116655.959271	1.000000	1000300	265216.781247	0.439851	13002400	
200	119604.816624	1.000000	8001600	119606.559584	0.999985	1000500	207843.334812	0.575457	12002900	
200	116460.263761	1.000000	9001700	116460.263761	1.000000	1000400	207300.488076	0.561794	12002500	
200	117948.201603	1.000000	12002800	118014.677711	0.999437	0	177870.164410	0.663114	12001800	
200	116686.293615	1.000000	10002200	116686.293615	1.000000	1000500	223616.040623	0.521815	12002200	
200	119665.427913	1.000000	12003100	119665.427913	1.000000	2000500	206578.467895	0.579273	14003000	
200	117392.824355	1.000000	10004000	117392.824355	1.000000	999200	201717.481233	0.581967	12001800	
200	119872.096437	1.000000	11003200	119872.096437	1.000000	999900	212454.124025	0.564226	12002300	
200	111137.131688	1.000000	12002600	111389.699491	0.997733	1000600	230747.711672	0.481639	14003500	
200	115530.351172	1.000000	12002600	115699.956884	0.998534	999400	249143.956655	0.463709	13002900	
200	119527.537650	1.000000	11002500	119641.540938	0.999047	1000200	207250.133537	0.576731	12002700	
200	118342.623885	1.000000	12005800	118342.623885	1.000000	997700	188047.762379	0.629322	11001900	
200	116192.955508	1.000000	12002700	116549.865572	0.996938	1001600	208017.206160	0.558574	13001700	
200	114890.739969	1.000000	11003800	114890.739969	1.000000	999500	172574.752889	0.665745	12002000	
200	117989.002536	1.000000	10002100	117989.002536	1.000000	1000200	211156.631754	0.558775	12002800	
200	118048.528645	1.000000	9002000	118048.528645	1.000000	999900	241560.783759	0.488691	12003000	
200	118236.178707	1.000000	10002000	118236.178707	1.000000	1001100	153590.484263	0.769814	10001400	
200	117300.695544	1.000000	12002600	117300.695544	1.000000	1000400	213638.231963	0.549062	12003000	
200	114962.221708	1.000000	11002200	116928.847492	0.983181	1001000	193528.291412	0.594033	13539500	
200	112401.018463	1.000000	9002000	112692.575361	0.997413	1000100	250574.134459	0.448574	14003200	
200	121860.930739	1.000000	11002900	121860.930739	1.000000	1000200	188952.980757	0.644927	13002600	
200	119600.474716	1.000000	10002200	119600.474716	1.000000	1000400	244422.290705	0.489319	13002700	
200	123713.705130	1.000000	11003200	123713.705130	1.000000	1000400	244181.852205	0.506646	14053700	
200	119269.510506	1.000000	12002700	119269.510506	1.000000	1000200	182759.908736	0.652602	11002700	
200	117463.728466	1.000000	14003000	117463.728466	1.000000	1000200	203297.507261	0.577792	12034500	
200	122108.316472	1.000000	12971100	122108.316472	1.000000	1000200	207289.507360	0.589071	13002900	
200	118224.238024	1.000000	13005500	118224.238024	1.000000	1000300	163828.933008	0.721632	11002400	
200	118264.843717	1.000000	11003100	118264.843717	1.000000	999200	197449.129275	0.598964	11002700	
200	119155.342299	1.000000	11002500	119577.748439	0.996468	1001000	188568.014404	0.631896	11002500	
200	116231.946559	1.000000	10001500	116231.946559	1.000000	1000700	197474.371024	0.588593	12002300	
200	120123.710140	1.000000	13003400	121001.338855	0.992747	1000000	245304.414182	0.489692	12002300	
200	116011.130372	1.000000	9003000	116011.130372	1.000000	999300	314496.655211	0.368879	14003100	
200	125912.909756	1.000000	11003100	125912.909756	1.000000	1000200	227115.349313	0.554401	12002200	
200	120016.278101	1.000000	13013200	120016.278101	1.000000	999500	173736.343700	0.690795	12002700	
200	119598.764637	1.000000	10993900	119598.764637	1.000000	1000200	289537.678059	0.413068	13002200	
200	118367.697343	1.000000	11002600	118367.697343	1.000000	0	205653.722402	0.575568	13003100	
200	119380.253073	1.000000	12002900	119380.253073	1.000000	1011700	256971.649775	0.464566	13991700	
