heap_mc_len	heap_mc_nanos	heap_mc_circuit	
44544.092836	741095300	[{"x":305.74128348486977,"y":9458.372964847247},{"x":2265.855709536309,"y":6979.467948482377},{"x":3879.9777065310464,"y":7454.967208809851},{"x":3703.758398272612,"y":6931.248226947489},{"x":4609.537652509359,"y":4874.669963106251},{"x":2567.3862946879112,"y":3368.3408246740287},{"x":2584.1428499821372,"y":3015.828702702974},{"x":525.0256089720668,"y":1621.4229179877605},{"x":2757.915647752312,"y":1808.8562746488346},{"x":4826.841421699038,"y":583.2426340190242},{"x":5709.239046046908,"y":485.4414318810596},{"x":5780.420840250481,"y":2606.901300086722},{"x":6320.818538951359,"y":3249.5566291856485},{"x":6595.347306222422,"y":3238.6354956695313},{"x":6449.322886854137,"y":6219.227051240809},{"x":7049.315759185921,"y":5931.138039812782},{"x":9068.126199681172,"y":4222.6150474219},{"x":9521.732508447722,"y":5781.7057134554325},{"x":9573.152522892931,"y":6812.983564782492},{"x":9448.15014299113,"y":9246.163789896305},{"x":7670.876348344883,"y":8343.708117277127},{"x":6930.909685308848,"y":9720.558047993873},{"x":5834.685992416833,"y":8631.588227407434},{"x":5134.634746532307,"y":9559.765293004744},{"x":3203.5532362034323,"y":8710.325217176562}]
38978.662696	116045600	[{"x":39.90737672704737,"y":9001.205292034014},{"x":465.5023313271291,"y":7730.726521809212},{"x":1271.0124280487723,"y":7571.453790145863},{"x":2918.947117457479,"y":6729.894131925441},{"x":2973.0180738203567,"y":6458.752231408371},{"x":5458.681558979673,"y":5271.061732573113},{"x":3602.3704851920725,"y":4362.650719868622},{"x":3892.7035517537074,"y":3488.0400572301037},{"x":2473.59728052499,"y":1974.8793743010453},{"x":4798.542745374172,"y":2861.214210539697},{"x":6536.758997837577,"y":488.1714706497344},{"x":6640.954186989728,"y":2554.812716870376},{"x":7177.493899173204,"y":2388.3211784957634},{"x":8093.597786242858,"y":2460.4635041073984},{"x":9036.083004415521,"y":3733.0947295493243},{"x":9903.993815119484,"y":5376.075835412589},{"x":9437.39555887271,"y":5704.008172183335},{"x":8605.270237128576,"y":4921.463840370253},{"x":8040.5375527952065,"y":5639.756135807027},{"x":7902.919160535039,"y":6982.200822125283},{"x":8052.112554999694,"y":8619.886361575343},{"x":7685.820119507537,"y":9015.393544294433},{"x":6595.064386305197,"y":9542.087650787067},{"x":4080.366770962492,"y":8090.422583007057},{"x":1741.1921930337257,"y":8340.31194444799}]
42065.513832	351326000	[{"x":7246.131345066583,"y":423.24566434033113},{"x":6064.387175718334,"y":3210.1912818774113},{"x":9848.990389892746,"y":4079.369712763521},{"x":8798.104975541804,"y":4652.818300372522},{"x":7866.573998342854,"y":5866.622827428082},{"x":8237.56143520365,"y":6967.774576128068},{"x":8108.907763470698,"y":7423.650840313592},{"x":8161.755900897078,"y":7988.566699658049},{"x":6459.9679565912,"y":6972.1663262483635},{"x":4649.248643700537,"y":6182.280486748125},{"x":3611.988630033158,"y":8082.9491525429385},{"x":4182.853764372158,"y":9740.46127155089},{"x":2153.8316418033905,"y":9819.35763589182},{"x":1301.0131834960941,"y":9404.24515057029},{"x":757.0257555158596,"y":8046.4653189633655},{"x":1123.206742769011,"y":7243.0580672756605},{"x":568.1053167775126,"y":7288.9395770466235},{"x":471.40092862606684,"y":6290.601046992586},{"x":88.87483580715767,"y":5055.554686052078},{"x":395.3270873279482,"y":3059.6024704376455},{"x":1981.2711868833221,"y":5000.453444989096},{"x":3053.5989458321087,"y":5578.899083386004},{"x":3461.4284768232997,"y":4687.977917163999},{"x":3047.2675672261403,"y":1821.791038421039},{"x":5786.343783503575,"y":388.94945885015807}]
37357.125982	317737600	[{"x":2696.907146935092,"y":9225.482003805637},{"x":1479.3509312831452,"y":8034.348929891952},{"x":3001.7179953461136,"y":6294.833642300959},{"x":3793.673889097082,"y":6074.779156155975},{"x":4158.58082738788,"y":5797.36944567594},{"x":3639.8159630313116,"y":5360.530284671713},{"x":1992.4894687035821,"y":5486.606919890529},{"x":2219.979289213604,"y":2482.0821600516947},{"x":2768.984987580134,"y":2470.3981076341415},{"x":4499.5688427799905,"y":3557.0691260774283},{"x":5558.2160083795825,"y":3273.8046443290377},{"x":4955.107068180205,"y":1162.953856008212},{"x":6303.3575016810255,"y":255.96493221553555},{"x":6772.221230797186,"y":620.9104492823249},{"x":6497.513579450543,"y":1092.2141390939853},{"x":7639.366796793113,"y":1792.8429566597974},{"x":9399.348411578938,"y":1897.2281053140714},{"x":9315.710256606966,"y":2145.7396474105158},{"x":9236.606964889816,"y":5934.119031258587},{"x":9511.734069225238,"y":6892.654430320055},{"x":8129.953842742218,"y":7113.640278071558},{"x":7533.916401691512,"y":9177.60138039846},{"x":5855.206829845019,"y":9061.383414412488},{"x":4423.216326825529,"y":7735.647276796397},{"x":3778.2098387155947,"y":9259.716438060237}]
38541.710997	5915160500	[{"x":4542.236139034519,"y":394.69957303478196},{"x":5242.139239956487,"y":3398.8930957539715},{"x":7526.52615364453,"y":4956.822752447083},{"x":8573.604591963849,"y":5643.109241782458},{"x":8057.711265228922,"y":6204.193890748018},{"x":5608.899677635935,"y":6121.636025800439},{"x":6030.63847740129,"y":8524.74337445073},{"x":7324.701870494775,"y":9500.804756575075},{"x":5721.6091154662245,"y":9538.575534115198},{"x":5287.315983971096,"y":9443.51196276771},{"x":5300.465553365936,"y":9321.50847580206},{"x":3444.9703526268327,"y":7443.014548256762},{"x":3382.534326540963,"y":8388.278021015709},{"x":3662.1386257442105,"y":8768.272153976477},{"x":2942.854803853495,"y":9340.225710782635},{"x":2263.0897783918667,"y":9184.746103470672},{"x":1176.806359715881,"y":9611.806389907648},{"x":1104.8860607410643,"y":9409.952460394146},{"x":291.550218709997,"y":8256.521926558682},{"x":729.4613028093158,"y":4341.119257516039},{"x":387.82345653180175,"y":3032.088953570577},{"x":748.0471995874967,"y":2744.848934124006},{"x":1969.2394185360365,"y":4472.8269071140085},{"x":2585.698265355639,"y":4179.962133256044},{"x":3681.743419754029,"y":4177.647253991705}]
39674.379543	45027900	[{"x":8694.966245816568,"y":31.513142588253093},{"x":9207.750807799122,"y":1493.760607068244},{"x":8107.902154113978,"y":1841.2370950203174},{"x":8729.471111872463,"y":6001.891638631491},{"x":8530.346645082576,"y":8549.612761046033},{"x":8285.251273793707,"y":9503.165414633102},{"x":7635.221889013872,"y":8767.41017852858},{"x":7804.508211624128,"y":6780.388672098459},{"x":6844.9478951288,"y":6121.134040878511},{"x":6025.756479835831,"y":5820.53253275196},{"x":5349.511604188058,"y":7270.494378845947},{"x":4833.628883577673,"y":7530.41237065069},{"x":4864.9245656044695,"y":8984.975952821134},{"x":2871.654228970325,"y":9223.084980417085},{"x":2740.1195087287415,"y":7822.169180348946},{"x":1315.143408812004,"y":6997.113914559967},{"x":1349.3402357334016,"y":5573.303247998316},{"x":3007.08030917985,"y":4233.3977036939},{"x":1859.5769992311662,"y":541.2283525924183},{"x":2095.1799087213276,"y":316.0540694820332},{"x":2771.9706629904554,"y":441.5579993192252},{"x":4233.027388978226,"y":1683.6586354337674},{"x":4473.209554962607,"y":1012.0122977939723},{"x":5416.552367506878,"y":522.0932764803798},{"x":7391.727037487004,"y":574.8053380252398}]
44128.551829	74018600	[{"x":9447.228788139959,"y":9879.93621692457},{"x":6527.843151936899,"y":8764.886330451613},{"x":4268.325092314826,"y":7998.7700421736845},{"x":4426.102658202188,"y":6970.2791010830515},{"x":3112.452942654333,"y":7692.025869781951},{"x":3251.7205518279075,"y":8593.464469516946},{"x":1868.7328372302256,"y":9490.928411837242},{"x":1612.6861037914234,"y":6783.961960547495},{"x":718.778154842624,"y":5422.026624711573},{"x":304.01083849140554,"y":4921.394866797961},{"x":788.3358562182616,"y":2206.241905568497},{"x":712.6691239045277,"y":2150.294569765054},{"x":1667.4346245837926,"y":68.69327001779298},{"x":3728.90263229326,"y":2525.2774340500578},{"x":5422.982858271641,"y":4606.018347781925},{"x":5731.013027733963,"y":3858.5830233721445},{"x":6845.571400201461,"y":1891.8001018938835},{"x":9121.318510412892,"y":510.7678004188111},{"x":9252.768288235187,"y":1235.7143752338984},{"x":8853.099859500593,"y":1447.3179782586262},{"x":9537.607797463943,"y":3939.8453890819846},{"x":7706.752242033707,"y":4757.631889994875},{"x":8847.667382480775,"y":6288.590603958263},{"x":8770.905819628528,"y":6742.202042539875},{"x":9645.702912659177,"y":7339.678913418907}]
47287.875525	1525065700	[{"x":9630.816986873893,"y":9936.700514823655},{"x":4937.3134724744805,"y":8567.132936215608},{"x":4129.511403651083,"y":6408.134000397897},{"x":2174.939847474029,"y":9786.51320275497},{"x":1749.1106354368094,"y":8134.221872700365},{"x":1231.2872338034474,"y":7743.141379413067},{"x":534.710210973209,"y":6403.388636166775},{"x":2030.6526640460959,"y":4542.098736764423},{"x":2588.0466689664618,"y":4503.759886668277},{"x":1489.9368476887867,"y":2420.852079699292},{"x":1283.161541925607,"y":611.1425648624951},{"x":669.1213347694061,"y":1.7566026022362706},{"x":2899.595465432468,"y":420.00584210525824},{"x":5673.486835116012,"y":544.4306545067047},{"x":5912.985602379525,"y":1919.377986753994},{"x":4180.034924595672,"y":2844.7938897149943},{"x":4084.881548137381,"y":3803.8796912763446},{"x":4517.201773950174,"y":3490.572531434023},{"x":5948.3090590625,"y":4222.007845410507},{"x":6202.750355231078,"y":4130.830851869417},{"x":9012.19292400123,"y":2564.1878440221117},{"x":9282.631713413884,"y":1747.638046007574},{"x":9743.7788429816,"y":3193.718659387744},{"x":9147.678122888301,"y":4346.662553330766},{"x":8962.26964728601,"y":6553.989294816056}]
40218.670996	72440200	[{"x":596.538090924177,"y":9818.300626163213},{"x":971.512998434137,"y":8659.593212824513},{"x":770.3548941401706,"y":7273.286624413023},{"x":2273.3759263102884,"y":4189.039388381325},{"x":2318.292623028137,"y":4094.949253257359},{"x":1694.7761565092767,"y":3732.473271995854},{"x":1711.9626104633217,"y":3681.5445072515513},{"x":985.3981617051207,"y":1460.5037678537105},{"x":4069.128812406378,"y":3678.9685188620606},{"x":4315.674209667691,"y":3178.412874169515},{"x":5617.056535396548,"y":1696.1376618768547},{"x":7487.931078804275,"y":411.6708271529972},{"x":8151.8165918986915,"y":1273.1998116402622},{"x":9005.603066319078,"y":1323.9314987812536},{"x":9705.792249439295,"y":4285.031521039793},{"x":8300.170610881667,"y":4255.035025297863},{"x":6681.948539647027,"y":4739.606321675353},{"x":6879.683366431829,"y":4884.36125541811},{"x":7208.525768254241,"y":6055.9838750197005},{"x":8445.781053345287,"y":7463.3025658785655},{"x":8657.037876557413,"y":9538.87324398663},{"x":7704.466889713778,"y":8565.054250687343},{"x":6781.527907937676,"y":9161.195536501788},{"x":1544.3874944759439,"y":9307.5500392351},{"x":855.0363414634346,"y":9867.338066413568}]
45843.322512	1431302400	[{"x":947.326181263281,"y":46.76967736646778},{"x":2566.7028518602424,"y":253.8371942176334},{"x":3004.4101477801078,"y":531.9319934220484},{"x":2903.4534051929495,"y":1123.3278682337866},{"x":8036.8664741803295,"y":889.4796632461911},{"x":9905.960152947488,"y":1320.3946319150768},{"x":9974.124420217246,"y":7016.236362430343},{"x":9767.916179597923,"y":7714.31279728914},{"x":9111.374983224889,"y":8627.291653330198},{"x":9091.50885390789,"y":9216.73073703072},{"x":8363.596103238782,"y":8848.479794505176},{"x":7447.890663672801,"y":9001.20503688776},{"x":7852.917300399422,"y":8645.3248690623},{"x":7981.662927866359,"y":6299.353780154853},{"x":5436.9888997519,"y":4592.739442705599},{"x":4217.4167456436435,"y":5992.128353932024},{"x":4988.80963058941,"y":6734.257455939343},{"x":2419.4349742546347,"y":9421.84710946293},{"x":877.5734660449117,"y":9355.710947845953},{"x":640.9467653775378,"y":7362.420194916903},{"x":528.2144592971284,"y":6361.9304202994135},{"x":1450.3392077638086,"y":6547.451545075558},{"x":2556.2164763521587,"y":5371.211444088954},{"x":600.0005257745064,"y":3943.1999638709012},{"x":368.7190122164369,"y":1462.1247859662278}]
