heap_len	heap_nanos  heap_mc_len	heap_mc_len_percent	heap_mc_nanos	heap_mc_circuit	
35092.413978	86057700	35092.413978	1.000000	1000200	[{"x":1985.0387749745216,"y":282.0560963179179},{"x":3377.471870187008,"y":2564.5545688327798},{"x":6123.067207050242,"y":2726.039099513256},{"x":8317.330676004953,"y":2610.5746950822017},{"x":6883.791743299041,"y":4567.051946212635},{"x":8350.056635035224,"y":9195.767960316274},{"x":7563.854417525581,"y":9031.251383375235},{"x":7204.482415347957,"y":9176.346324390915},{"x":6017.379456092691,"y":8908.379171473765},{"x":5441.222896618639,"y":9856.243865569664},{"x":3931.4953637354765,"y":8909.704921143015},{"x":1970.841747687963,"y":9790.387246805265},{"x":1065.3570715250776,"y":8947.09795546435},{"x":2035.873051822988,"y":7176.971840206248},{"x":1056.2826036696463,"y":5541.9356072502715},{"x":503.4643702393292,"y":4417.445141230711},{"x":1834.8682631048653,"y":3004.7543153859556},{"x":191.57205540211427,"y":1763.1981287559893}]
37700.187206	384328400	37700.187206	1.000000	8039500	[{"x":2137.152787183061,"y":588.7204628684656},{"x":9541.220732222386,"y":2244.60973553034},{"x":9145.173252830682,"y":2530.32259720941},{"x":8166.546110363354,"y":3995.8659036503523},{"x":7654.853917112599,"y":4252.972550090119},{"x":8916.477298372974,"y":8053.633367115537},{"x":6684.466302646655,"y":8816.281965589267},{"x":5900.75383425251,"y":7537.786408871078},{"x":5275.258164636994,"y":8704.797642987003},{"x":4094.8046672061623,"y":9554.754099726857},{"x":2408.289129236427,"y":9715.732215188254},{"x":1072.6601424188364,"y":8984.040079783348},{"x":3757.0700567125546,"y":7078.7672239184},{"x":4796.965856120841,"y":4675.632969881248},{"x":4276.23639491773,"y":4342.6130089651215},{"x":3175.875593963706,"y":4568.923506628735},{"x":1368.5656627998635,"y":4128.373997044084},{"x":951.022409366282,"y":3656.893144392411}]
37258.562960	498742500	37258.562960	1.000000	1999800	[{"x":2164.6385067818833,"y":9754.067737074754},{"x":2425.0843125411693,"y":8717.103799020975},{"x":774.6919768012476,"y":6367.361559545107},{"x":356.37539763705905,"y":2968.7085964898106},{"x":2603.895805325595,"y":2483.733264134416},{"x":3542.8521399269407,"y":1458.9557115009013},{"x":3665.737890413732,"y":581.9472097307497},{"x":6490.361035521227,"y":1112.8271232024347},{"x":9053.1690283635,"y":1531.2425115951992},{"x":6311.576476623354,"y":2941.672029575714},{"x":5716.033720482065,"y":2668.829866880529},{"x":6076.388536521019,"y":4286.946060477349},{"x":7700.104511309597,"y":4106.339020902377},{"x":9471.878518040969,"y":5472.264539094433},{"x":9336.967183557103,"y":5990.381688381131},{"x":6801.146166392254,"y":7266.153111340688},{"x":4464.70930364822,"y":6561.6503306344885},{"x":3915.2229695017636,"y":9510.301570248586}]
heap_len	heap_nanos	heap_mc_len	heap_mc_len_percent	heap_mc_nanos	heap_mc_circuit	
33756.899300	138320500	33756.899300	1.000000	0	[{"x":9984.672544526169,"y":8308.03604185134},{"x":8306.713192312174,"y":8306.307406709042},{"x":7618.869463764223,"y":9165.924033690513},{"x":3341.4007633143574,"y":8331.87176756833},{"x":2507.568478341689,"y":9181.542121739985},{"x":2142.257451437055,"y":9748.308975461177},{"x":1524.4100749249592,"y":9995.071649603897},{"x":761.8770039750775,"y":9842.380324340103},{"x":1420.551479489653,"y":9159.080014704894},{"x":741.588792255071,"y":7280.304756939216},{"x":812.9714775380521,"y":2878.9606410935176},{"x":135.4106332539186,"y":2647.4461996448413},{"x":368.74626207791715,"y":1282.0653020168575},{"x":1962.9842235469948,"y":1184.2183817704038},{"x":1956.1838118299502,"y":1866.0316545288442},{"x":3785.5010381827938,"y":6386.992741071877},{"x":7585.328778892395,"y":7050.511790383776},{"x":9520.736116803306,"y":7617.0756464125}]
39409.152564	1778445700	39409.152564	1.000000	4000900	[{"x":9560.560522364452,"y":9885.691054210085},{"x":7706.671448788602,"y":7033.844696768039},{"x":5878.548776410961,"y":8514.973002099485},{"x":5362.572152099061,"y":7971.424115374491},{"x":4768.740564426641,"y":6077.345985298464},{"x":3019.645080836517,"y":5811.550464699048},{"x":839.4627932122987,"y":8360.726868185286},{"x":1175.6960388011607,"y":6777.9266215684265},{"x":276.2006849629762,"y":5859.396465705114},{"x":1894.0215993038717,"y":4941.359313367595},{"x":2421.852597683241,"y":3273.1237338222763},{"x":4766.022391269882,"y":3134.089245945597},{"x":5998.595123570785,"y":42.85396677836197},{"x":7147.2614080349085,"y":3961.4011153298966},{"x":8521.979904909955,"y":4138.848238598251},{"x":9301.680880984672,"y":3106.617196612628},{"x":9172.995797643223,"y":5993.958890456217},{"x":9675.166510501973,"y":8128.677341255396}]
33015.951620	1264283600	33015.951620	1.000000	7001300	[{"x":8597.180138723776,"y":1495.7680678934423},{"x":8958.843038571338,"y":3821.038544304738},{"x":9944.526337834142,"y":8328.944724362666},{"x":9566.998473839983,"y":9453.303411898665},{"x":8418.594876385636,"y":9319.360672896684},{"x":8368.346376709254,"y":8159.6595666342155},{"x":8216.260680746469,"y":7300.323961770653},{"x":6440.784856567905,"y":7069.561183013035},{"x":4933.062772990855,"y":7759.202998064794},{"x":5268.026978020543,"y":9700.52566403165},{"x":1621.0284389627914,"y":8736.533880546534},{"x":2300.0524654411756,"y":5442.374522289188},{"x":2787.3722720741393,"y":5116.121638010351},{"x":2912.3055257781098,"y":5031.031079883682},{"x":3230.8360924287954,"y":5507.229173618026},{"x":3940.427207373914,"y":6299.516414501255},{"x":4642.620527648841,"y":5659.315696520929},{"x":5428.662765793957,"y":5234.292895188063}]
32942.235486	428650000	33012.613681	1.002136	1000500	[{"x":9985.604993996101,"y":7601.86102276308},{"x":7660.09530834699,"y":7272.974143029579},{"x":4078.7056839428697,"y":7839.417523647462},{"x":3102.5023584198284,"y":7834.2295748607285},{"x":2704.7088791133397,"y":7293.368397788873},{"x":2329.2508186832006,"y":9408.54012512269},{"x":1569.517656298971,"y":7572.230726919729},{"x":154.46837915443854,"y":6334.15549412849},{"x":2520.8883991549274,"y":4368.147398141431},{"x":1287.3309204049299,"y":2959.0983698968903},{"x":2373.5827590321655,"y":3093.170349386776},{"x":2890.719612043834,"y":3317.748566565961},{"x":3681.4483568278433,"y":1136.3767401753296},{"x":4472.596143298532,"y":2352.5991884874375},{"x":5118.778683286596,"y":2561.4978656725843},{"x":6432.7083720738065,"y":2302.870241250647},{"x":7697.692919007595,"y":4912.896775078613},{"x":9914.976539710733,"y":5992.005771724103}]
39291.215028	24569909500	39291.215028	1.000000	39051900	[{"x":8333.6469263291,"y":8941.945938554383},{"x":6549.578399762418,"y":5701.945891777446},{"x":4248.149618995596,"y":5036.721816102977},{"x":1820.620223134545,"y":6930.358260143027},{"x":2613.316268614658,"y":8050.428911546903},{"x":109.11480195291888,"y":9159.399089473018},{"x":485.9021734924714,"y":6170.294348475236},{"x":937.7516886489952,"y":4468.04150833781},{"x":1161.6889050542793,"y":4343.204317562644},{"x":1662.4144411775662,"y":4125.617058810664},{"x":424.67184991012283,"y":2261.749316663845},{"x":2350.747783588764,"y":1812.097287018421},{"x":2885.425235091431,"y":2488.398598719568},{"x":4308.188288389618,"y":3726.2795740131783},{"x":4396.789936265359,"y":3907.0548816112428},{"x":6844.084461942342,"y":622.4381886388597},{"x":6892.284612086384,"y":2952.7687130899076},{"x":9055.745123426641,"y":5593.151846396328}]
40580.421292	5471412600	40580.421292	1.000000	12004100	[{"x":33.535360959623546,"y":838.9684851481726},{"x":2793.951723037281,"y":143.92317975668325},{"x":3162.7749368740106,"y":882.9431918654949},{"x":6387.4313070253065,"y":1797.1456665460869},{"x":8491.208787929414,"y":812.7206485310467},{"x":9725.602469517517,"y":3856.7212969992274},{"x":8779.56346211903,"y":3553.0206150542763},{"x":7773.635082691499,"y":3927.94608821447},{"x":6646.044239819603,"y":2938.4347607521504},{"x":6534.853148220372,"y":4136.494508313997},{"x":6455.304429896592,"y":4151.247659257286},{"x":5314.313505244363,"y":5352.604464592688},{"x":6452.406166777386,"y":5103.325525273411},{"x":7951.024571842504,"y":5401.721751825682},{"x":6686.760609958431,"y":7170.621457294799},{"x":8027.485797226544,"y":8975.67845429252},{"x":5788.131535317412,"y":9777.904818785273},{"x":130.02824009749236,"y":5955.8558583171125}]
