num_vertices	heap_mc_len	heap_mc_nanos	gready_len	gready_len_perc	greedy_nanos	
20	44068.061397	69858500	45960.272599	0.958829	0
20	40553.026393	5992400	40647.019100	0.997688	0
20	38017.673928	53011900	38474.265182	0.988133	0
20	37569.738646	20004200	38901.410924	0.965768	0
20	35420.049448	10002000	35420.049448	1.000000	0
20	37154.186057	11002200	37423.068273	0.992815	0
20	39942.065021	64021400	39942.065021	1.000000	0
20	36418.785639	6000200	36747.863007	0.991045	0
20	41790.487736	39008900	41790.487736	1.000000	1000300
20	43858.026257	6001500	43858.026257	1.000000	0
20	35905.633305	1000100	35905.633305	1.000000	0
20	41426.659722	785874800	42329.486987	0.978671	0
20	39611.001688	33008600	40558.762362	0.976632	0
20	39387.546159	36879000	39736.745407	0.991212	0
20	34461.011354	211112600	34622.132986	0.995346	0
20	37808.834224	3001900	38223.906151	0.989141	999700
20	34627.203849	3001600	34627.203849	1.000000	0
20	38721.011721	2999200	38721.011721	1.000000	0
20	40863.039614	89885400	42435.293642	0.962949	0
20	34598.696760	10001900	34892.306829	0.991585	0
20	38003.818921	38520500	38354.363279	0.990860	0
20	40288.562700	14510300	41754.160973	0.964899	0
20	33822.094244	3001100	33940.658375	0.996507	0
20	46407.045402	51010600	46407.045402	1.000000	0
20	37285.910495	1000200	37285.910495	1.000000	0
20	41874.921527	42016200	41874.921527	1.000000	0
20	41310.720648	327383700	42735.241969	0.966666	0
20	38809.715509	3000200	39032.883819	0.994283	0
20	35092.592792	181678300	35135.029581	0.998792	0
20	37614.817698	1000300	37614.817698	1.000000	0
20	39616.053414	168032800	39927.604888	0.992197	0
20	40992.577831	34068500	41679.702108	0.983514	0
20	37754.827869	20006700	37942.506514	0.995054	0
20	39137.053057	127055000	39266.280868	0.996709	0
20	41727.797073	132679600	41727.797073	1.000000	0
20	41724.723989	2995100	41997.387522	0.993508	0
20	42260.885667	1237186100	43595.430722	0.969388	0
20	40253.975757	14002300	43120.707902	0.933518	0
20	35300.413315	1000000	35300.413315	1.000000	0
20	42553.814998	16004500	43023.541167	0.989082	0
20	36597.073454	15004100	38063.044043	0.961486	0
20	41852.655486	23003500	42226.028829	0.991158	0
20	36570.563758	26012500	36572.268627	0.999953	0
20	36274.867266	15527100	36274.867266	1.000000	0
20	37395.320518	1994100	37395.320518	1.000000	0
20	40571.973271	18004800	40571.973271	1.000000	0
20	41740.350635	2312376100	42031.343583	0.993077	0
20	40093.684765	4000600	40093.684765	1.000000	0
20	38994.871521	10509200	38994.871521	1.000000	0
20	43719.335150	209618500	43719.335150	1.000000	1002200
20	42581.615197	21990500	42820.710558	0.994416	1000200
20	42481.730736	104039300	42957.651367	0.988921	0
20	37943.816978	9001400	38621.152490	0.982462	0
20	42329.991777	43028700	44194.412835	0.957813	0
