greedy_len	greedy_nanos
431093.007653	123329600
430949.590197	118724300
426383.240749	116557600
430452.852841	132124400
430012.132468	115578800
434940.912912	114384900
430345.127301	115796300
427619.709939	113776900
429177.072004	113418700
425075.234680	113547800
423196.005060	117026400
428369.587259	117027200
430548.434408	113200200
424899.785788	115578500
426955.090364	114105800
425935.277688	117068400
432797.729077	122433900
430134.032266	119026900
430707.750215	127659900
427382.578456	113925400
430552.496297	112222500
426750.878698	118026600
427512.918354	114552100
431982.935124	112034500
429292.266060	118060700
427499.580149	120983900
430815.245009	113629400
431698.883950	117026200
425927.924796	112892400
424844.989878	113025500
427674.790411	117592800
428136.910614	118025900
430773.873596	118026500
428161.967838	112999000
425855.754728	118026600
431333.751152	115025900
430401.670384	123087300
435515.821384	112975300
423940.200763	117016600
426971.151695	120557300
429461.557908	113025200
432844.917610	113026200
426868.569725	118026200
424320.418797	115026500
424946.258088	134032200
424427.785064	119035300
430317.724979	113647400
426061.748366	121078600
429524.571312	116421900
427449.584203	155383200
426626.126300	150686700
421824.399352	256579600
429854.808867	145306000
424761.588164	123754600
428229.594784	117028800
425036.226692	133573600
430809.615175	118027000
427524.072505	119027200
426920.730172	120025500
427321.825946	121028200
431236.418667	116026400
423943.837342	119026100
426280.730672	112564500
426788.041971	116026000
427628.514664	120027100
427199.964965	116025900
426393.439624	114025500
424665.715763	125028300
428700.755357	114024800
431470.483369	117026100
430041.177141	111025000
425341.519206	120567900
429274.146327	112025300
427973.425821	113025700
429824.144674	123026900
428931.523853	116026000
426835.596309	114025200
427637.134537	117026700
432970.945274	114025600
425443.965637	117561400
428755.795815	112024800
427061.571098	113025400
427029.413982	127029200
432783.195967	120026800
424710.968343	119026900
429433.940754	112825800
426699.711124	114025600
425741.604588	117026200
424420.107796	117041000
426921.093376	115026800
430635.763947	117025900
426382.394868	129029500
425031.183425	123027400
424823.154657	120026900
428902.172033	113035200
425717.597582	117026200
427585.023261	116558700
424438.270516	117016800
428755.735045	116025900
432477.284994	112034600
429521.595406	122018000
427183.254408	118026500
427248.409832	118024700
432544.150668	118026100
424628.992621	115554700
424912.361974	114035100
427077.528542	129028900
427720.958860	123027700
429148.214804	115026000
428668.993632	113052700
429000.486020	114989200
431159.367294	122039600
432155.086093	118026700
428116.249552	115630800
430162.083839	113024400
430095.193645	119026600
424897.206881	115024900
425894.216914	115025600
428979.749735	116027000
429043.762503	119026000
430601.730067	115035400
420650.650088	116028200
423884.592011	113567500
426428.491793	112092700
430121.779997	113025500
427319.226832	113015900
421971.285122	112025100
429166.233578	116026000
429010.348443	116026000
427269.033830	112025200
427597.637679	111089000
428862.795210	117017300
428269.925860	119026800
429294.917755	115035400
428099.399409	116085900
430615.753118	119016900
429835.544545	112025400
430427.170420	114025000
429389.005781	113025300
429682.870121	115551700
427406.551804	114439300
426820.676103	121050300
427378.932681	117425600
428288.456501	113581900
425598.742841	114062900
426417.230264	118952500
429809.337327	116069500
430373.611120	113075900
437293.483842	117577500
425323.826773	115032300
423984.416836	115590200
425064.063600	120088700
426714.808522	115581900
432788.494329	114571900
425876.314216	117580400
428806.393098	114665700
433384.441945	116061100
431088.367645	116581100
425404.602444	118589700
429262.006048	115100500
430977.448148	114583400
428796.671155	115591700
425010.601447	114587500
429463.503318	113581000
423423.954014	112682700
422878.002982	114689900
425356.014736	118025300
425910.785717	113025800
427611.835708	115025900
426336.419839	117026200
426479.487390	115035400
432943.585490	118036000
426886.244865	116016400
430674.320493	114035300
426367.118805	119029400
426193.928192	116013400
425590.241863	118036200
423946.701313	114026000
427866.441739	133029400
424514.946692	115017700
428665.483568	117025500
430728.357115	112024200
425738.462853	116026300
428661.972995	115026500
431108.602564	117025000
426226.520463	121036800
424567.585761	114025800
429868.249105	125036400
428522.267850	117016600
422346.057430	119121800
424340.460137	115210700
428855.450042	128037700
425479.183397	118017500
425387.209063	115025700
426819.083994	117025700
425012.345218	114583800
426435.173792	117601300
431486.106585	113593000
425501.971786	120163100
426372.550744	115755800
428001.188012	119546800
427548.861353	116035600
422781.593615	113533000
428100.915275	134658500
428094.944190	120331300
420545.621434	112545800
425756.613131	116091700
425113.403886	118075100
426070.273079	119941200
432403.526345	118227500
427810.106685	117803100
429754.559290	119099300
424571.422025	114594100
423148.446111	116600700
424105.671680	115598200
428003.518126	113086100
425338.543088	115582800
428764.655853	115088400
429906.841544	116026100
430859.057329	113016400
431462.434044	133937200
432195.260336	117197500
422894.454852	118845900
429512.104459	116983200
428335.715257	117025400
427992.250583	117026700
428614.328616	116035800
428150.300568	115016200
428095.932484	117673500
425966.284159	116510500
420696.568851	118679200
430497.312074	116133100
426587.140661	128029900
423970.085472	126027800
426088.556719	118036100
425770.601894	121110200
426365.834825	131587800
424806.132454	117079400
424050.124682	116204500
427759.737975	118567700
425083.388162	115064000
432720.675579	148101400
428313.864883	117065100
428159.250885	117081200
426227.523732	117017000
426969.035036	117035600
425534.682596	115016500
424756.039636	118035900
430617.981496	117017200
425914.064566	118026600
426427.113331	118026100
427334.780355	116025500
430901.127220	118026600
426098.494534	116035600
426034.297993	116016500
426563.637364	115026000
426888.993092	122027600
426132.419809	120026900
428481.870976	118027400
431438.156400	121024500
425777.381561	114025600
421052.130855	119026100
435246.793853	117532600
425187.310900	116588000
431669.311178	115106500
432226.258626	114025800
429958.164137	116026200
427686.150622	119026000
424435.199802	116025800
428088.100822	116027000
430215.611202	119026500
426500.657206	119026800
426645.272414	116025600
427987.128066	116025600
426252.243080	121027400
426456.969882	120036400
427148.308336	120027100
429469.775549	116016600
427105.646212	119026400
425773.140182	117728200
431152.889472	120026300
426844.104352	122144100
425688.448774	116278200
427794.727334	123583000
426168.022997	121602800
423168.932577	118599900
428250.838012	115061800
429592.508815	127587500
428263.889930	116480700
425962.073272	120117000
431874.550693	119558000
430038.963582	114087800
432342.493506	118573500
426691.360922	117050600
430750.046184	115061400
431185.426243	120558000
434318.768430	120575400
427958.230666	118016200
431883.121775	117026300
431615.763359	116026600
425813.028214	114026200
424449.191082	122027000
426650.850269	120026700
428174.264958	116026100
424632.215034	114025700
422339.570591	118026900
426406.028177	115025600
430494.355247	115026300
429019.810099	114025500
427592.283740	128038800
425416.857751	121027100
426846.779673	113016300
428238.129051	114025000
433629.037478	112025200
431269.131951	121027300
427920.800090	117026200
422923.318240	117025900
431274.566299	117026300
432579.056899	113025900
429622.678972	118027000
428172.812450	117035200
430091.472495	119030000
426970.745598	116013300
429464.255863	117035900
429074.675128	118076400
427965.581156	110580500
426088.320264	117035500
427046.145915	138602600
429428.726110	115028900
424273.235827	115589400
427374.039602	123035100
422976.743863	135654300
433714.850764	121052500
426016.124424	117025300
430580.497296	115025300
426818.550979	120029000
429518.668880	115025000
427511.921832	118026500
426581.134969	118026200
431030.442219	115026700
432433.863597	112024600
427270.713400	121036900
426947.821875	128028800
426233.658117	114025500
433682.273124	113025500
432441.684978	116026100
427424.399525	122027000
428348.871857	128547000
428886.391084	115106800
423304.638029	113694700
425704.397854	129031600
425101.288421	117580100
427350.805138	119566600
426153.198569	115559300
428821.871415	117075800
428126.532487	122106900
427348.028957	123054300
433406.200059	114135800
428238.334585	130723400
427259.137566	115682300
429135.419882	111153500
425463.746829	112575600
425858.679463	116026300
424867.295198	113025200
429578.039543	113015700
427555.120921	114038100
428871.992481	116023300
428286.634406	119026700
430043.491070	123017900
429025.247974	111025100
424390.898798	119026700
428347.614104	117027100
433776.043873	116025300
427777.040476	112024600
434371.165102	118036600
428313.108553	117026100
431128.670087	117016500
430586.662126	118036400
422798.618866	118035700
427429.808625	115058800
427802.669452	112075400
426729.077781	120564400
433829.002494	119581500
427178.895249	118075700
424051.758418	121036900
424627.272349	116047000
427402.760554	113062200
429891.477541	114578000
427454.500082	114597000
427277.469898	111682700
431176.955155	116551800
430751.621351	117577700
427549.294526	113567800
427553.685397	121618500
430250.688859	116026500
429287.321473	114025100
432428.033230	114035200
426395.430049	119026900
422911.961646	117025000
431449.209155	118026700
432778.910284	116035500
422778.924303	125285500
424795.177765	121026200
425155.221713	130029200
429421.253091	117024600
425160.663390	116027300
427576.053317	116026000
436183.514711	114034700
434062.757863	113025800
431816.490624	116543600
425320.674551	117041000
