num_vertices	greedy_byedge_len	greedy_byedge_perc	greedy_byedge_nanos	greedy_len	greedy_perc	greedy_nanos	
300	142218.334784	1.000000	32011900	142880.433619	0.995366	2001200	
300	144800.576610	1.000000	22515400	144831.613577	0.999786	1511300	
300	143313.299981	1.000000	24000200	143313.299981	1.000000	2000400	
300	143089.743315	1.000000	21004600	143089.743315	1.000000	1000700	
300	145919.690024	1.000000	21004700	145919.690024	1.000000	2000400	
300	149079.997317	1.000000	17006700	149079.997317	1.000000	2000200	
300	142126.140175	1.000000	28027800	142126.140175	1.000000	1995700	
300	145836.412797	1.000000	33007200	145877.458743	0.999719	2000600	
300	144600.194633	1.000000	22006200	144600.194633	1.000000	1999200	
300	146840.651733	1.000000	30011200	146840.651733	1.000000	2000100	
300	148709.353347	1.000000	28023600	148709.353347	1.000000	2000300	
300	146662.502976	1.000000	28006600	146805.915789	0.999023	2000100	
300	144687.760866	1.000000	25005800	144687.760866	1.000000	2000600	
300	149880.051985	1.000000	29010600	149933.598649	0.999643	1999600	
300	145956.159121	1.000000	21514900	145956.159121	1.000000	2000400	
300	141450.080011	1.000000	24511300	141472.888631	0.999839	2000000	
300	140908.621738	1.000000	24006600	140908.621738	1.000000	1999500	
300	144631.985668	1.000000	32745400	144633.022412	0.999993	1999900	
300	143891.939993	1.000000	33524700	144264.853289	0.997415	3001500	
300	146077.591326	1.000000	30260500	146077.591326	1.000000	2000600	
300	142372.303316	1.000000	24006300	143669.715939	0.990969	1999700	
300	147220.361924	1.000000	22514700	147326.084896	0.999282	1999600	
300	148695.625963	1.000000	26522000	148695.625963	1.000000	2004500	
300	147926.303960	1.000000	27013200	147926.303960	1.000000	2000600	
300	139086.352175	1.000000	28005800	139086.352175	1.000000	2000900	
300	144689.089962	1.000000	32009600	144689.089962	1.000000	2000400	
300	143660.282045	1.000000	26017500	143660.282045	1.000000	1995500	
300	143780.455180	1.000000	31630000	143780.455180	1.000000	2000500	
300	142149.402521	1.000000	20004600	142149.402521	1.000000	2000600	
300	143514.822065	1.000000	31774000	143514.822065	1.000000	2000300	
300	145436.745573	1.000000	23731500	145436.745573	1.000000	2000500	
300	147500.476256	1.000000	26520200	147500.476256	1.000000	2000400	
300	148976.919943	1.000000	25541400	149306.217689	0.997794	2001200	
300	150648.581949	1.000000	37007200	151219.516889	0.996224	3000600	
300	144508.962412	1.000000	28019200	144508.962412	1.000000	1990700	
300	148229.955536	1.000000	28544000	148229.955536	1.000000	2000500	
300	149287.578392	1.000000	28513200	149287.578392	1.000000	2010200	
300	147225.593754	1.000000	22007500	147235.950310	0.999930	2001300	
300	142060.489857	1.000000	25001800	142060.489857	1.000000	2000500	
300	146706.054441	1.000000	24533900	146706.054441	1.000000	2000400	
300	151223.729876	1.000000	27515700	151223.729876	1.000000	2000800	
300	146939.730071	1.000000	26006600	147222.980302	0.998076	2000300	
300	145884.274672	1.000000	25005300	145884.274672	1.000000	2001000	
300	146291.007082	1.000000	26008700	146291.076857	1.000000	1999700	
300	151538.850176	1.000000	29515600	151862.732533	0.997867	2000600	
300	138923.573507	1.000000	22513200	138923.573507	1.000000	2000500	
300	143874.854643	1.000000	28005900	143874.854643	1.000000	2000800	
300	143225.340796	1.000000	29009800	143573.801567	0.997573	1000500	
300	152040.508436	1.000000	28549400	152451.865074	0.997302	2000500	
300	146718.827330	1.000000	32188700	148540.747688	0.987735	2000600	
300	148004.329073	1.000000	27006000	148179.786560	0.998816	3000000	
300	146533.227703	1.000000	28006600	146533.227703	1.000000	1995800	
300	146593.146434	1.000000	28515800	146593.146434	1.000000	2000100	
300	144200.694907	1.000000	26006100	144200.694907	1.000000	2000700	
300	142929.437567	1.000000	37514500	143179.536627	0.998253	2004100	
300	149617.120227	1.000000	26009200	149782.609988	0.998895	2000300	
300	145275.575500	1.000000	23005200	145275.575500	1.000000	2000500	
300	147289.688803	1.000000	23005800	147289.688803	1.000000	2533300	
300	145772.480036	1.000000	24509900	145772.480036	1.000000	2000600	
300	143408.079865	1.000000	24835500	143408.079865	1.000000	1999900	
300	141402.909157	1.000000	29017400	141402.909157	1.000000	2000500	
300	147160.608621	1.000000	31007300	147160.608621	1.000000	2000200	
300	136309.226152	1.000000	25005500	136974.843751	0.995141	2001700	
300	144215.835456	1.000000	25007400	144448.413914	0.998390	2000900	
300	148697.038402	1.000000	24514200	148723.268751	0.999824	2000500	
300	143460.758922	1.000000	26511800	143460.758922	1.000000	2000400	
300	143053.097468	1.000000	25510400	143061.722283	0.999940	2000500	
300	151267.445417	1.000000	27512200	151288.805620	0.999859	2000200	
300	143757.200441	1.000000	27014200	143757.200441	1.000000	1995400	
300	144836.769525	1.000000	27930200	144836.769525	1.000000	1999200	
300	146398.698574	1.000000	30023600	146687.727428	0.998030	1999900	
300	145501.424459	1.000000	32007700	145548.791408	0.999675	2000000	
300	146381.515642	1.000000	28289200	146386.395093	0.999967	2001400	
