num_vertices	heap_mc_len	heap_mc_perc	heap_mc_nanos	heap_limited_len	heap_limited_perc	heap_limited_nanos	greedy_len	greedy_perc	greedy_nanos	greedy_byedge_len	greedy_byedge_perc	greedy_byedge_nanos	greedy_withupdates_len	greedy_withupdates_perc	greedy_withupdates_nanos	greedy_byedge_withupdates_len	greedy_byedge_withupdates_perc	greedy_byedge_withupdates_nanos	
11	31621.424782	1.000000	1009800	31621.424782	1.000000	0	31621.424782	1.000000	0	31621.424782	1.000000	0	31621.424782	1.000000	0	31621.424782	1.000000	0	
11	28256.581846	1.000000	0	28256.581846	1.000000	0	28256.581846	1.000000	0	28256.581846	1.000000	0	28256.581846	1.000000	0	28256.581846	1.000000	0	
11	28256.581846	1.000000	0	28256.581846	1.000000	0	28256.581846	1.000000	0	28256.581846	1.000000	0	28256.581846	1.000000	0	28256.581846	1.000000	0	
11	28256.581846	1.000000	990200	28256.581846	1.000000	0	28256.581846	1.000000	0	28256.581846	1.000000	0	28256.581846	1.000000	0	28256.581846	1.000000	0	
11	27088.565766	1.000000	0	27088.565766	1.000000	0	27088.565766	1.000000	0	27088.565766	1.000000	0	27088.565766	1.000000	0	27088.565766	1.000000	0	
11	27088.565766	1.000000	0	27088.565766	1.000000	0	27088.565766	1.000000	0	27088.565766	1.000000	0	27088.565766	1.000000	0	27088.565766	1.000000	0	
11	27088.565766	1.000000	0	27088.565766	1.000000	1000900	27088.565766	1.000000	0	27088.565766	1.000000	0	27088.565766	1.000000	0	27088.565766	1.000000	0	
11	28157.701780	1.000000	0	28157.701780	1.000000	0	28207.091324	0.998249	0	28157.701780	1.000000	0	28207.091324	0.998249	0	28157.701780	1.000000	0	
11	28157.701780	1.000000	0	28157.701780	1.000000	0	28207.091324	0.998249	0	28157.701780	1.000000	0	28207.091324	0.998249	0	28157.701780	1.000000	0	
11	28157.701780	1.000000	0	28157.701780	1.000000	0	28207.091324	0.998249	0	28157.701780	1.000000	0	28207.091324	0.998249	0	28157.701780	1.000000	0	
11	31062.178022	1.000000	0	31062.178022	1.000000	0	31062.178022	1.000000	0	31062.178022	1.000000	0	31062.178022	1.000000	0	31062.178022	1.000000	0	
11	31062.178022	1.000000	0	31062.178022	1.000000	0	31062.178022	1.000000	0	31062.178022	1.000000	1000200	31062.178022	1.000000	0	31062.178022	1.000000	0	
11	27767.985021	1.000000	0	27767.985021	1.000000	0	27767.985021	1.000000	0	27767.985021	1.000000	0	27767.985021	1.000000	0	27767.985021	1.000000	0	
12	28275.830290	1.000000	0	28275.830290	1.000000	0	28275.830290	1.000000	0	28275.830290	1.000000	0	28275.830290	1.000000	0	28275.830290	1.000000	0	
12	28275.830290	1.000000	0	28275.830290	1.000000	0	28275.830290	1.000000	0	28275.830290	1.000000	0	28275.830290	1.000000	0	28275.830290	1.000000	1000200	
12	30390.250890	1.000000	0	30390.250890	1.000000	0	30390.250890	1.000000	0	30390.250890	1.000000	0	30390.250890	1.000000	0	30390.250890	1.000000	0	
12	30390.250890	1.000000	0	30390.250890	1.000000	0	30390.250890	1.000000	0	30390.250890	1.000000	0	30390.250890	1.000000	0	30390.250890	1.000000	0	
12	30390.250890	1.000000	0	30390.250890	1.000000	0	30390.250890	1.000000	0	30390.250890	1.000000	0	30390.250890	1.000000	0	30390.250890	1.000000	0	
12	30390.250890	1.000000	0	30390.250890	1.000000	1001300	30390.250890	1.000000	0	30390.250890	1.000000	0	30390.250890	1.000000	0	30390.250890	1.000000	0	
12	32557.090481	1.000000	0	32557.090481	1.000000	0	32557.090481	1.000000	0	32557.090481	1.000000	0	32557.090481	1.000000	0	32557.090481	1.000000	0	
12	32557.090481	1.000000	0	32557.090481	1.000000	0	32557.090481	1.000000	0	32557.090481	1.000000	0	32557.090481	1.000000	0	32557.090481	1.000000	0	
12	32557.090481	1.000000	999900	32557.090481	1.000000	0	32557.090481	1.000000	0	32557.090481	1.000000	0	32557.090481	1.000000	0	32557.090481	1.000000	0	
12	29931.128133	1.000000	0	29931.128133	1.000000	0	29931.128133	1.000000	0	29931.128133	1.000000	0	29931.128133	1.000000	0	29931.128133	1.000000	0	
12	29931.128133	1.000000	0	29931.128133	1.000000	0	29931.128133	1.000000	0	29931.128133	1.000000	0	29931.128133	1.000000	0	29931.128133	1.000000	0	
