num_vertices	heap_mc_len	heap_mc_perc	heap_mc_nanos	greedy_len	greedy_perc	greedy_nanos	greedy_byedge_len	greedy_byedge_perc	greedy_byedge_nanos	greedy_withupdates_len	greedy_withupdates_perc	greedy_withupdates_nanos	greedy_byedge_withupdates_len	greedy_byedge_withupdates_perc	greedy_byedge_withupdates_nanos	
10	35481.507458	1.000000	0	35481.507458	1.000000	0	35481.507458	1.000000	0	35481.507458	1.000000	0	35481.507458	1.000000	0	
10	35481.507458	1.000000	512100	35481.507458	1.000000	0	35481.507458	1.000000	0	35481.507458	1.000000	0	35481.507458	1.000000	0	
10	28994.044449	1.000000	0	28994.044449	1.000000	0	28994.044449	1.000000	0	28994.044449	1.000000	0	28994.044449	1.000000	0	
10	28994.044449	1.000000	504300	28994.044449	1.000000	0	28994.044449	1.000000	0	28994.044449	1.000000	0	28994.044449	1.000000	0	
10	28000.354906	1.000000	513900	28000.354906	1.000000	0	28000.354906	1.000000	9500	28000.354906	1.000000	0	28000.354906	1.000000	0	
10	30080.623448	1.000000	0	30537.562247	0.985037	0	30080.623448	1.000000	0	30537.562247	0.985037	0	30080.623448	1.000000	0	
10	30080.623448	1.000000	0	30537.562247	0.985037	0	30080.623448	1.000000	503200	30537.562247	0.985037	0	30080.623448	1.000000	0	
10	29908.049610	1.000000	0	29908.049610	1.000000	0	29908.049610	1.000000	0	29908.049610	1.000000	0	29908.049610	1.000000	0	
10	29908.049610	1.000000	0	29908.049610	1.000000	0	29908.049610	1.000000	0	29908.049610	1.000000	0	29908.049610	1.000000	512000	
10	24270.645455	1.000000	0	24270.645455	1.000000	0	24270.645455	1.000000	0	24270.645455	1.000000	0	24270.645455	1.000000	0	
10	24270.645455	1.000000	0	24270.645455	1.000000	0	24270.645455	1.000000	0	24270.645455	1.000000	0	24270.645455	1.000000	0	
10	23739.263972	1.000000	0	23739.263972	1.000000	0	23739.263972	1.000000	0	23739.263972	1.000000	0	23739.263972	1.000000	0	
10	23739.263972	1.000000	0	23739.263972	1.000000	0	23739.263972	1.000000	0	23739.263972	1.000000	0	23739.263972	1.000000	0	
10	23739.263972	1.000000	0	23739.263972	1.000000	0	23739.263972	1.000000	0	23739.263972	1.000000	510400	23739.263972	1.000000	0	
10	29884.161649	1.000000	0	29884.161649	1.000000	0	29884.161649	1.000000	0	29884.161649	1.000000	0	29884.161649	1.000000	0	
10	29884.161649	1.000000	0	29884.161649	1.000000	0	29884.161649	1.000000	503700	29884.161649	1.000000	0	29884.161649	1.000000	0	
10	30075.623670	1.000000	0	30075.623670	1.000000	0	30075.623670	1.000000	0	30075.623670	1.000000	0	30075.623670	1.000000	0	
10	30075.623670	1.000000	0	30075.623670	1.000000	0	30075.623670	1.000000	0	30075.623670	1.000000	0	30075.623670	1.000000	0	
10	30075.623670	1.000000	8000	30075.623670	1.000000	0	30075.623670	1.000000	0	30075.623670	1.000000	0	30075.623670	1.000000	0	
10	28752.199611	1.000000	0	28752.199611	1.000000	0	28752.199611	1.000000	0	28752.199611	1.000000	0	28752.199611	1.000000	0	
10	28752.199611	1.000000	0	28752.199611	1.000000	0	28752.199611	1.000000	0	28752.199611	1.000000	0	28752.199611	1.000000	513200	
10	24473.923346	1.000000	0	24473.923346	1.000000	0	24473.923346	1.000000	0	24473.923346	1.000000	0	24473.923346	1.000000	0	
10	24473.923346	1.000000	0	24473.923346	1.000000	0	24473.923346	1.000000	0	24473.923346	1.000000	0	24473.923346	1.000000	0	
10	27927.166192	1.000000	0	27927.166192	1.000000	0	27927.166192	1.000000	0	27927.166192	1.000000	0	27927.166192	1.000000	0	
10	31877.772142	1.000000	0	31877.772142	1.000000	0	31877.772142	1.000000	0	31877.772142	1.000000	0	31877.772142	1.000000	0	
10	31877.772142	1.000000	0	31877.772142	1.000000	511500	31877.772142	1.000000	0	31877.772142	1.000000	0	31877.772142	1.000000	0	
10	24395.966891	1.000000	0	24540.525568	0.994109	0	24540.525568	0.994109	0	25071.560421	0.973053	0	24540.525568	0.994109	0	
10	24395.966891	1.000000	0	24540.525568	0.994109	512700	24540.525568	0.994109	0	25071.560421	0.973053	0	24540.525568	0.994109	0	
10	23443.673385	1.000000	0	23443.673385	1.000000	0	23443.673385	1.000000	0	23443.673385	1.000000	0	23443.673385	1.000000	0	
10	23443.673385	1.000000	0	23443.673385	1.000000	0	23443.673385	1.000000	0	23443.673385	1.000000	0	23443.673385	1.000000	0	
10	23443.673385	1.000000	510600	23443.673385	1.000000	0	23443.673385	1.000000	0	23443.673385	1.000000	0	23443.673385	1.000000	0	
10	27988.469806	1.000000	0	27988.469806	1.000000	0	27988.469806	1.000000	0	27988.469806	1.000000	0	27988.469806	1.000000	514300	
10	27713.772719	1.000000	0	27713.772719	1.000000	0	27713.772719	1.000000	0	27713.772719	1.000000	0	27713.772719	1.000000	0	
10	27713.772719	1.000000	0	27713.772719	1.000000	0	27713.772719	1.000000	0	27713.772719	1.000000	0	27713.772719	1.000000	503500	
10	24090.883300	1.000000	0	24090.883300	1.000000	0	24090.883300	1.000000	0	24090.883300	1.000000	0	24090.883300	1.000000	0	
10	24090.883300	1.000000	0	24090.883300	1.000000	0	24090.883300	1.000000	0	24090.883300	1.000000	0	24090.883300	1.000000	0	
10	24090.883300	1.000000	0	24090.883300	1.000000	0	24090.883300	1.000000	0	24090.883300	1.000000	0	24090.883300	1.000000	512200	
