num_vertices	greedy_len	greedy_perc	greedy_nanos	
250	1084442.142440	1.000000	510670200	
250	1268575.781971	1.000000	486108500	
250	1255489.676673	1.000000	481641000	
250	1203407.149443	1.000000	478119200	
250	1067839.246808	1.000000	477105000	
250	1078604.373188	1.000000	493460500	
250	1240191.056605	1.000000	502148700	
250	1159058.622596	1.000000	480588300	
250	1125302.726240	1.000000	492110600	
250	1173819.541675	1.000000	480098600	
250	1064893.289156	1.000000	488119000	
250	1243724.676813	1.000000	484108700	
250	1133717.145669	1.000000	489100800	
250	1126264.887596	1.000000	492618000	
250	1189649.699108	1.000000	491119500	
250	1270770.734168	1.000000	477139100	
250	1157317.638326	1.000000	489078000	
250	1212595.350811	1.000000	476107300	
250	1079767.066833	1.000000	484099300	
250	1131109.205664	1.000000	476106300	
250	1114729.119975	1.000000	488110100	
250	1111587.465093	1.000000	478108400	
250	1210444.793740	1.000000	491119400	
250	1180490.520680	1.000000	476097200	
250	1176801.712784	1.000000	480108400	
250	1165873.936475	1.000000	476661700	
250	1163103.132193	1.000000	485099700	
250	1078460.958231	1.000000	483131300	
250	1207133.800761	1.000000	485099500	
250	1214352.003016	1.000000	486108900	
250	1140820.775444	1.000000	482108600	
250	1090530.116071	1.000000	488110200	
250	1144344.030057	1.000000	480107400	
250	1105888.939331	1.000000	505122600	
250	1126268.086556	1.000000	498102300	
250	1137987.864489	1.000000	483108200	
250	1171270.156766	1.000000	480108200	
250	1181673.555980	1.000000	477116700	
250	1062958.583107	1.000000	490626000	
250	1032834.486814	1.000000	481108400	
250	1140760.579084	1.000000	486109100	
250	1087623.316440	1.000000	491252800	
250	1223937.760250	1.000000	494745600	
250	1035359.990923	1.000000	479166400	
250	1160146.642555	1.000000	476050800	
250	1096457.283506	1.000000	487109600	
250	1188935.525778	1.000000	494111000	
250	1066260.770136	1.000000	489122700	
250	1167363.080173	1.000000	495108100	
250	973590.963007	1.000000	483108600	
250	1235195.650268	1.000000	476106900	
250	1193546.540939	1.000000	483108800	
250	1223413.387669	1.000000	480098100	
250	1164269.739058	1.000000	495119800	
250	1101534.500080	1.000000	502104300	
250	1160918.648771	1.000000	560126100	
250	1141604.901062	1.000000	559629700	
250	1209148.902629	1.000000	566127200	
250	1088541.349486	1.000000	523116900	
250	1186422.152794	1.000000	503410700	
250	1096858.735257	1.000000	542119200	
250	1158014.165967	1.000000	515116000	
250	1234539.023994	1.000000	550123500	
250	1178471.736369	1.000000	534120000	
250	1153260.308988	1.000000	521116700	
250	1102136.485035	1.000000	497645100	
250	1176554.875048	1.000000	502113600	
250	1227454.112449	1.000000	536121000	
250	1137522.713820	1.000000	528118000	
250	1175471.101581	1.000000	519136600	
250	1083203.947749	1.000000	517288300	
250	1117541.495300	1.000000	505112100	
250	1224642.497193	1.000000	572345900	
250	1150483.734367	1.000000	501649700	
250	1196743.124873	1.000000	577129000	
250	1144681.151329	1.000000	539667400	
250	1165352.359600	1.000000	489164700	
250	1180211.275284	1.000000	501204900	
250	1109033.287814	1.000000	487106200	
250	1093277.156515	1.000000	486666000	
250	1237751.628108	1.000000	486106900	
250	1089744.536672	1.000000	482630000	
250	1067407.155224	1.000000	487110100	
250	1239855.355542	1.000000	503666500	
250	1161112.577906	1.000000	508148100	
250	1070433.232212	1.000000	496626900	
250	1095204.881268	1.000000	506114100	
250	1160032.236236	1.000000	510170400	
300	1337107.611472	1.000000	987766000	
300	1376873.067785	1.000000	949259400	
300	1508423.144978	1.000000	964713200	
300	1537656.991491	1.000000	1010278300	
300	1451503.079868	1.000000	956231400	
300	1461234.702193	1.000000	961287100	
300	1633419.555605	1.000000	984763300	
300	1462843.473969	1.000000	968217200	
300	1480385.859311	1.000000	988222200	
300	1548690.080567	1.000000	983781700	
300	1278678.822403	1.000000	992806500	
300	1482811.294538	1.000000	1088667600	
300	1466576.570956	1.000000	1016762600	
300	1537724.285451	1.000000	975775500	
300	1339153.374060	1.000000	949213500	
300	1401813.179809	1.000000	987767300	
300	1462795.167100	1.000000	1182072500	
300	1454799.800592	1.000000	1208275900	
300	1423767.455682	1.000000	1187327800	
300	1425687.293168	1.000000	1014807000	
300	1260720.397300	1.000000	1024751300	
300	1415738.673904	1.000000	1094804700	
300	1480835.881349	1.000000	967763500	
300	1384616.011328	1.000000	1027752300	
300	1428031.805418	1.000000	1082786500	
300	1499050.893471	1.000000	1127176000	
300	1409119.476925	1.000000	1086243700	
300	1511863.160031	1.000000	974228300	
300	1315487.380598	1.000000	964217400	
300	1401811.771792	1.000000	996223500	
300	1463475.093985	1.000000	976219400	
300	1447325.055990	1.000000	994848200	
300	1469542.257362	1.000000	977112700	
300	1533773.013341	1.000000	977197300	
300	1305881.631578	1.000000	991715500	
300	1342478.570543	1.000000	974058600	
300	1342160.678362	1.000000	987404600	
300	1411385.475917	1.000000	971061600	
300	1472780.409774	1.000000	974394800	
300	1370009.295893	1.000000	964678500	
300	1354405.660991	1.000000	966688700	
300	1577067.902846	1.000000	1032177300	
300	1458315.591655	1.000000	1005778800	
300	1441039.165500	1.000000	1078902600	
300	1490137.004552	1.000000	1093047300	
300	1265512.758217	1.000000	1013646000	
300	1356788.498667	1.000000	1059238400	
300	1350345.950959	1.000000	1007579700	
300	1494318.693693	1.000000	1071521300	
300	1311525.717736	1.000000	988803500	
300	1449027.760880	1.000000	962216500	
300	1493128.541824	1.000000	986221700	
300	1391294.759756	1.000000	1001952200	
300	1385923.583615	1.000000	1052722300	
300	1328147.231398	1.000000	1002443800	
300	1451458.287342	1.000000	1017219100	
300	1331146.673162	1.000000	1001041000	
300	1426389.946605	1.000000	999642200	
300	1397914.457064	1.000000	987212800	
300	1350846.015267	1.000000	1094371900	
300	1539360.651362	1.000000	999668600	
300	1497467.112009	1.000000	995033800	
300	1339489.225690	1.000000	1029024400	
300	1460181.066223	1.000000	1015940500	
300	1297159.358581	1.000000	956903200	
300	1405058.820300	1.000000	1074256500	
300	1502250.999622	1.000000	1042270800	
300	1397359.187761	1.000000	1063437400	
300	1374175.316139	1.000000	1077281200	
300	1423981.676137	1.000000	1034461000	
300	1435563.425847	1.000000	1106809800	
300	1353924.421591	1.000000	1104607500	
300	1473241.406637	1.000000	1053786500	
300	1357995.101051	1.000000	1137537900	
300	1308835.716206	1.000000	979730900	
300	1430155.126398	1.000000	1062228900	
300	1409398.302612	1.000000	1069241000	
300	1473343.687443	1.000000	1012745300	
300	1358923.512095	1.000000	1089568000	
300	1278778.052367	1.000000	1080471300	
300	1367769.669787	1.000000	1002216900	
300	1406486.891250	1.000000	975227500	
300	1356478.674692	1.000000	972219400	
300	1433154.295113	1.000000	1010216300	
300	1453322.497112	1.000000	991232300	
300	1506895.860708	1.000000	1000215100	
300	1355087.947331	1.000000	1103734900	
300	1437847.326152	1.000000	1048112700	
300	1298816.586863	1.000000	1101285400	
300	1379600.033003	1.000000	1099292200	
300	1421473.953717	1.000000	1107040800	
300	1346467.174104	1.000000	1209844000	
300	1421596.236277	1.000000	1047249900	
300	1423942.136345	1.000000	1078313500	
300	1319968.231911	1.000000	1153873900	
300	1385339.677701	1.000000	1054363700	
300	1399874.486165	1.000000	1049809300	
300	1350381.365109	1.000000	1011252700	
300	1502766.607539	1.000000	985290000	
300	1448360.550777	1.000000	1001247500	
350	1653118.710242	1.000000	1909466800	
350	1516593.405851	1.000000	1894436100	
350	1667473.337825	1.000000	1907450100	
350	1563670.248970	1.000000	1945492100	
350	1748295.199804	1.000000	1996968700	
350	1732080.697016	1.000000	1898465700	
350	1704221.003549	1.000000	2249953500	
350	1660708.777165	1.000000	2387885400	
350	1565442.376499	1.000000	2007095800	
350	1660726.208069	1.000000	2053175100	
350	1720186.459951	1.000000	1927639800	
350	1649084.744952	1.000000	2145635400	
350	1560622.750040	1.000000	1922568000	
350	1654820.824903	1.000000	1980026200	
350	1495199.906990	1.000000	1808457900	
350	1780294.832416	1.000000	1826496800	
350	1603581.296134	1.000000	1828522500	
350	1636062.329912	1.000000	1828373500	
350	1598154.826924	1.000000	1837019000	
350	1524437.380739	1.000000	1874992300	
350	1558030.663428	1.000000	1819496400	
350	1727000.119265	1.000000	1766562600	
350	1764127.636010	1.000000	1830350900	
350	1742930.529344	1.000000	1835422000	
350	1627067.954726	1.000000	1879422400	
350	1676451.663939	1.000000	1843404600	
350	1532559.758653	1.000000	1983604500	
350	1549331.401548	1.000000	1957017400	
350	1761705.302605	1.000000	1925013000	
350	1489798.858728	1.000000	2086062500	
350	1648258.485539	1.000000	1985914600	
350	1633177.506519	1.000000	1985578100	
350	1534529.154170	1.000000	1868967200	
350	1601538.722065	1.000000	1815411300	
350	1644390.451365	1.000000	1802490300	
350	1728823.134631	1.000000	1777479900	
350	1728918.806081	1.000000	1797506800	
350	1563211.130110	1.000000	1778489500	
350	1655518.526619	1.000000	1761113800	
350	1517286.203903	1.000000	1787018100	
350	1541331.470571	1.000000	1768952100	
350	1560402.213416	1.000000	1809007400	
350	1574197.128120	1.000000	1870971500	
350	1775522.848369	1.000000	1855509800	
350	1655512.356219	1.000000	1808932700	
350	1594217.529912	1.000000	1876527400	
350	1812943.338974	1.000000	1827526100	
350	1683784.722483	1.000000	1828555800	
350	1599013.430789	1.000000	1801904800	
350	1618302.127726	1.000000	1897529200	
350	1563223.042500	1.000000	1798464600	
350	1615891.268463	1.000000	1758945900	
350	1639875.198128	1.000000	1881959600	
350	1672687.239708	1.000000	1899539000	
350	1644189.710269	1.000000	1760949100	
350	1643501.740484	1.000000	2050592400	
350	1597119.470691	1.000000	1850000200	
350	1746561.088495	1.000000	1856487500	
350	1709821.421184	1.000000	1833945600	
350	1624141.724721	1.000000	1772478300	
350	1738880.226696	1.000000	1872484700	
350	1632502.272244	1.000000	1790546500	
350	1684186.816591	1.000000	1804509800	
350	1632599.330214	1.000000	1760944400	
350	1667617.825040	1.000000	1894513000	
350	1566460.029927	1.000000	1768948600	
350	1671138.254605	1.000000	1744017400	
350	1734726.953521	1.000000	1953501600	
350	1677817.947426	1.000000	1795095000	
350	1725282.826170	1.000000	1784409600	
350	1696056.032702	1.000000	1753385000	
350	1663527.192319	1.000000	1759953400	
350	1744724.047896	1.000000	1771411700	
350	1724324.182367	1.000000	1770397500	
350	1649637.304923	1.000000	1931952900	
350	1644388.816015	1.000000	1912435900	
350	1616752.905933	1.000000	1968945400	
350	1808342.517244	1.000000	1857419800	
350	1683866.717935	1.000000	1815966800	
350	1631894.102176	1.000000	1775356700	
350	1743502.506485	1.000000	1914939100	
350	1694697.863392	1.000000	1935949100	
350	1762794.848420	1.000000	1788411400	
350	1782680.940268	1.000000	1903637200	
350	1650980.580717	1.000000	1977966300	
350	1722197.825567	1.000000	1786406300	
350	1681523.447280	1.000000	1840947000	
350	1612567.966200	1.000000	1812925100	
350	1656834.856517	1.000000	1795487900	
350	1654681.741235	1.000000	1819132400	
350	1504897.648675	1.000000	1836505900	
350	1673669.967304	1.000000	1827789900	
350	1623122.554385	1.000000	1779267700	
350	1625668.547599	1.000000	1761409200	
350	1736641.167753	1.000000	1791166600	
350	1727167.503246	1.000000	1786768000	
350	1784699.225500	1.000000	1777565300	
350	1428584.040474	1.000000	1766773700	
350	1659323.873090	1.000000	2032519900	
350	1716879.294495	1.000000	1900224400	
400	1957336.800737	1.000000	3447811100	
400	1929465.067542	1.000000	3051690300	
400	1841687.056888	1.000000	2956666100	
400	1753026.596601	1.000000	2942169400	
400	2022612.222370	1.000000	2936240900	
400	1948943.256513	1.000000	3018757500	
400	1855111.406470	1.000000	3007239800	
400	1987397.837215	1.000000	2964327200	
400	1875912.587136	1.000000	2992387700	
400	1991929.992514	1.000000	3311503500	
400	2058720.390675	1.000000	3018327000	
400	1809147.174628	1.000000	3000360700	
400	1928081.192540	1.000000	2988830300	
400	1880472.404659	1.000000	2989827400	
400	1870663.599019	1.000000	3042844500	
400	1883356.449856	1.000000	2965326400	
400	1886027.862831	1.000000	3076338300	
400	1842774.430167	1.000000	3007219600	
400	1953986.517411	1.000000	3046360500	
400	1820637.826168	1.000000	3225345700	
400	1751287.815218	1.000000	3299961600	
400	1847342.263319	1.000000	3092355500	
400	1923633.814784	1.000000	3143237800	
400	1831288.238934	1.000000	3044684700	
400	1783766.269726	1.000000	3059235400	
400	1879051.868093	1.000000	2963175000	
400	1884278.576272	1.000000	3005216300	
400	1860859.572619	1.000000	2985677400	
400	1765121.645651	1.000000	2999685800	
400	1866678.892783	1.000000	2986671700	
400	2116208.815867	1.000000	2997185800	
400	1834582.036707	1.000000	3000759900	
