num_vertices	np_len	np_perc	np_nanos	np_heap_len	np_heap_perc	np_heap_nanos	greedy_len	greedy_perc	greedy_nanos	
9	31504.869164	1.000000	1207315000	31504.869164	1.000000	99021700	31504.869164	1.000000	0	
9	46778.228261	1.000000	1255819100	46778.228261	1.000000	172038000	48869.006003	0.957217	0	
9	40740.948781	1.000000	1283818400	40740.948781	1.000000	324072300	44462.876191	0.916291	0	
9	37757.535766	1.000000	1464863900	37757.535766	1.000000	656683100	37757.535766	1.000000	0	
9	38899.401048	1.000000	1222903200	38899.401048	1.000000	268060400	38899.401048	1.000000	0	
9	40483.037307	1.000000	1342370800	40483.037307	1.000000	581131900	40999.116349	0.987412	999200	
9	23286.705399	1.000000	1255809500	23286.705399	1.000000	427095000	23286.705399	1.000000	1000600	
9	27077.475309	1.000000	1234784400	27077.475309	1.000000	567632500	28138.765161	0.962284	998700	
9	34661.706154	1.000000	1487841700	34661.706154	1.000000	240055300	36242.884712	0.956373	0	
9	40003.588416	1.000000	1250366200	40003.588416	1.000000	384086200	40933.090968	0.977292	0	
9	40938.099988	1.000000	1275253600	40938.099988	1.000000	167037900	42254.228891	0.968852	0	
9	44116.767580	1.000000	1366852000	44116.767580	1.000000	467637100	45844.400988	0.962315	0	
9	32450.948829	1.000000	1360847400	32450.948829	1.000000	114026000	32450.948829	1.000000	0	
9	42371.553736	1.000000	1162297200	42371.553736	1.000000	155034600	45465.417315	0.931951	0	
9	25037.657873	1.000000	1358373700	25037.657873	1.000000	116025800	25037.657873	1.000000	0	
9	36233.914057	1.000000	1477897000	36233.914057	1.000000	318074500	37932.584531	0.955219	0	
9	31518.014037	1.000000	1382855100	31518.014037	1.000000	359356400	31518.014037	1.000000	0	
9	30303.694465	1.000000	1270809400	30303.694465	1.000000	232051500	30561.677752	0.991559	0	
9	25029.291027	1.000000	1342823300	25029.291027	1.000000	246054700	26212.311090	0.954868	0	
9	40032.584554	1.000000	1415898200	40032.584554	1.000000	371461500	40032.584554	1.000000	1000000	
9	23798.382673	1.000000	1192388000	23798.382673	1.000000	181031000	23798.382673	1.000000	0	
9	36843.031135	1.000000	1379438400	36843.031135	1.000000	193033800	37357.866033	0.986219	0	
9	32724.912421	1.000000	1268294600	32724.912421	1.000000	231042400	32724.912421	1.000000	0	
9	25270.701422	1.000000	1355030900	25270.701422	1.000000	325063300	25270.701422	1.000000	0	
9	35652.351480	1.000000	1319918800	35652.351480	1.000000	131019800	35652.351480	1.000000	0	
9	31764.193388	1.000000	1195176700	31764.193388	1.000000	88560200	32435.594786	0.979300	0	
9	28548.687202	1.000000	1243377600	28548.687202	1.000000	148411300	28548.687202	1.000000	0	
9	39493.273415	1.000000	1463077400	39493.273415	1.000000	313023200	40980.863581	0.963700	0	
9	39447.422234	1.000000	1291289400	39447.422234	1.000000	442099200	40813.126070	0.966538	0	
9	28338.061092	1.000000	1428001800	28338.061092	1.000000	506291300	28338.061092	1.000000	0	
9	29123.864161	1.000000	1478854000	29123.864161	1.000000	186042900	29123.864161	1.000000	0	
9	23429.218735	1.000000	1549121100	23429.218735	1.000000	219048600	23429.218735	1.000000	0	
9	37881.497708	1.000000	1285811500	37881.497708	1.000000	145032600	37881.497708	1.000000	0	
9	35037.292739	1.000000	1491077600	35037.292739	1.000000	188043100	36229.661360	0.967089	0	
9	44616.743479	1.000000	1240278500	44616.743479	1.000000	539121300	44824.180552	0.995372	0	
9	31471.732471	1.000000	1369813500	31471.732471	1.000000	111025400	37305.062479	0.843632	0	
9	29030.871417	1.000000	1458672300	29030.871417	1.000000	201035700	29920.552286	0.970265	0	
9	32565.745245	1.000000	1245783100	32565.745245	1.000000	88019900	32565.745245	1.000000	1000100	
9	26235.130721	1.000000	1343064400	26235.130721	1.000000	111012600	26235.130721	1.000000	0	
9	34804.421407	1.000000	1377019800	34804.421407	1.000000	146023400	35455.744923	0.981630	0	
9	32766.469348	1.000000	1364307000	32766.469348	1.000000	218048500	32766.469348	1.000000	0	
9	38300.659477	1.000000	1233286900	38300.659477	1.000000	57012900	38300.659477	1.000000	0	
9	29566.365704	1.000000	1282290900	29566.365704	1.000000	160023800	29566.365704	1.000000	0	
9	30039.188320	1.000000	1434322100	30039.188320	1.000000	307068900	30039.188320	1.000000	0	
9	37208.593159	1.000000	1230289000	37208.593159	1.000000	81008100	37208.593159	1.000000	1000500	
9	30679.233636	1.000000	1376331700	30679.233636	1.000000	154025100	30679.233636	1.000000	0	
9	32579.232824	1.000000	1325310400	32579.232824	1.000000	159023600	34085.394797	0.955812	1000500	
9	23019.802148	1.000000	1487923200	23019.802148	1.000000	370083000	23019.802148	1.000000	0	
9	26370.865223	1.000000	1397868000	26370.865223	1.000000	272580800	26370.865223	1.000000	1000100	
9	35974.849481	1.000000	1425872600	35974.849481	1.000000	493101400	35974.849481	1.000000	0	
9	30070.919177	1.000000	1501900500	30070.919177	1.000000	541111700	30070.919177	1.000000	0	
9	23156.830215	1.000000	1462893100	23156.830215	1.000000	230041900	23156.830215	1.000000	0	
9	36202.563851	1.000000	1287852000	36202.563851	1.000000	203037300	39074.767485	0.926495	0	
9	32087.599754	1.000000	1379912000	32087.599754	1.000000	94008500	32087.599754	1.000000	0	
9	26513.156436	1.000000	1317732700	26513.156436	1.000000	209047100	26513.156436	1.000000	0	
9	46166.731446	1.000000	1090989200	46166.731446	1.000000	84009200	46166.731446	1.000000	0	
9	33951.795273	1.000000	1319865500	33951.795273	1.000000	231039200	33951.795273	1.000000	0	
9	42985.835786	1.000000	1341399600	42985.835786	1.000000	211037900	46970.043892	0.915176	0	
9	33486.423470	1.000000	1481575600	33486.423470	1.000000	156037700	33486.423470	1.000000	0	
9	31460.426068	1.000000	1316047900	31460.426068	1.000000	247197200	32526.388175	0.967228	0	
9	46286.043855	1.000000	1457265000	46286.043855	1.000000	302067800	46297.314439	0.999757	0	
9	15668.004317	1.000000	1380838800	15668.004317	1.000000	116026400	15668.004317	1.000000	1000000	
9	36128.967502	1.000000	1174411100	36128.967502	1.000000	158035600	38762.235449	0.932066	0	
9	28986.863768	1.000000	1356894900	28986.863768	1.000000	134030000	30004.739277	0.966076	0	
9	28614.380593	1.000000	1504931700	28614.380593	1.000000	395079200	28614.380593	1.000000	0	
9	18728.939251	1.000000	1438447000	18728.939251	1.000000	259048300	18728.939251	1.000000	0	
9	35148.216303	1.000000	1145789700	35148.216303	1.000000	204045600	35637.250067	0.986277	0	
9	45575.224367	1.000000	1184802400	45575.224367	1.000000	141191600	54998.974441	0.828656	0	
9	32570.867159	1.000000	1373026900	32570.867159	1.000000	189290100	33244.171303	0.979747	0	
9	28134.612375	1.000000	1344155900	28134.612375	1.000000	306204000	29919.270955	0.940351	0	
9	37890.902780	1.000000	1478622600	37890.902780	1.000000	142908500	41282.781401	0.917838	0	
9	31480.893359	1.000000	1467482900	31480.893359	1.000000	139021300	31480.893359	1.000000	0	
